Species,Species_Abbreviation,TaxonomicGroup,PrevalenceChange,NRB_T1,NRB_T2,NRBShift_Raw,NRBShift,PhenologyShift,Pvalue_Phenology,SE_PhenologyShift,PopulationTrend,P_PopulatioTrend,NRB_Shift_Scaled,Phenology_Shift_Scaled,PopulationTrend_Scaled,PhenologyCategory,NRB_Category,PopualtionTrend_Category,response,hypo,HostUse,Voltinism,OverwinteringStage,BodySize,HU,volti,univolt_dummy,specialist_dummy,generalist_dummy,lf_dummy,adult_dummy,larva_dummy,pupa_dummy,North_dummy,South_dummy,Advance_dummy,Delay_dummy,NorthAdvance_dummy,SouthAdvance_dummy,NorthDelay_dummy,Hypo1_dummy,Hypo2_dummy
Celastrina argiolus,Cel.argi,Butterfly,-211,726.2,748.6,224,238.0144422,-0.134201728,0.071576254,0.074427172,0.009074238,0.402707046,1.665290819,-0.443769092,0.180025088,STAB,EXP,STAB,DELEXP,one,oligophagous,2,pupa,26.3,specialist,multi,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Plebeius argus,Ple.argu,Butterfly,-119,734.4,733.1,-13,-10.75682314,0.309112767,3.60E-07,0.060550278,-0.004154732,0.702489541,-0.075261142,1.022152948,-0.082426314,DEL,STAB,STAB,DELCONTR,zero,polyphagous,1,egg,23,generalist,semi and uni,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Plebeius idas,Ple.idas,Butterfly,-136,771.1,769.7,-14,-9.581698025,0.280073591,0.000149219,0.073673439,0.018267006,0.077065629,-0.067039267,0.92612819,0.362401709,DEL,STAB,STAB,DELCONTR,zero,polyphagous,1,egg,24.6,generalist,semi and uni,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Plebeius artaxerxes,Ari.arta,Butterfly,-250,740.4,725.2,-152,-132.9955649,-0.203291993,0.005136331,0.072536397,-0.020068563,0.006976233,-0.930516196,-0.672232054,-0.398143053,ADV,CONTR,NEG,ADVCONTR,one,oligophagous,1,larva,28.1,specialist,semi and uni,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
Plebeius eumedon,Eum.eume,Butterfly,-436,746.8,740.6,-62,-19.19713713,-0.251869769,0.008937745,0.096134724,-0.04362538,0.011422257,-0.134314607,-0.832865719,-0.865490069,ADV,STAB,NEG,ADVCONTR,one,oligophagous,1,larva,28.1,specialist,semi and uni,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Plebeius semiargus,Cya.semi,Butterfly,-312,738.3,740.2,19,45.93724437,-0.09910749,0.007550145,0.037071947,-0.002342968,0.859982354,0.321404326,-0.327721868,-0.046482473,ADV,EXP,STAB,ADVEXP,two,polyphagous,1,larva,28.8,generalist,semi and uni,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
Plebeius optilete,Vac.opti,Butterfly,-367,775.4,771.4,-40,-6.025586138,0.230141843,0.006013504,0.083596682,-0.019650025,0.247612315,-0.04215859,0.761017302,-0.389839619,DEL,STAB,STAB,DELCONTR,zero,monophagous,1,larva,25.9,specialist,semi and uni,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Plebeius amandus,Pol.aman,Butterfly,-310,727.6,737.4,98,124.6813473,0.083000539,0.001044252,0.025297964,-0.009915023,0.216629563,0.872344977,0.274460502,-0.19670554,DEL,EXP,STAB,DELEXP,one,polyphagous,1,larva,31.4,generalist,semi and uni,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
Plebeius icarus,Pol.icar,Butterfly,-204,747.2,769,218,231.1188024,0.661100781,1.28E-12,0.092763955,-0.016314033,0.215782544,1.617044816,2.18608283,-0.323656403,DEL,EXP,STAB,DELEXP,one,polyphagous,2,larva,28.5,generalist,multi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
Pararge maera,Las.maer,Butterfly,-456,708.3,718.1,98,143.3618336,0.14248866,1.73E-05,0.03306951,-0.022871457,0.016357155,1.003044786,0.471171751,-0.453750063,DEL,EXP,NEG,DELEXP,one,polyphagous,1,larva,46.5,generalist,semi and uni,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
